,Compound_CID,Name,SMILES
111,57498913,"1,3-dimethyl-7-((E)-2-hexen-1-yl)-8-chloro-xanthine",CCC/C=C/CN1C2=C(N=C1Cl)N(C(=O)N(C2=O)C)C
112,57514541,1-Methyl-3-[(2-trimethylsilanyl-ethoxy)methyl]-7-(2-cyano-benzyl)-8-chloro-xanthine,CN1C(=O)C2=C(N=C(N2CC3=CC=CC=C3C#N)Cl)N(C1=O)COCC[Si](C)(C)C
113,57499146,1-Methyl-7-benzyl-8-(3-amino-piperidin-1-yl)-xanthine,CN1C(=O)C2=C(NC1=O)N=C(N2CC3=CC=CC=C3)N4CCCC(C4)N
114,57498912,1-((E)-2-phenyl-vinyl)-3-methyl-7-(3-methyl-2-buten-1-yl)-8-bromo-xanthine,CC(=CCN1C2=C(N=C1Br)N(C(=O)N(C2=O)/C=C/C3=CC=CC=C3)C)C
115,131715268,"8-(4'-Carboxymethyloxyphenyl)-1,3-dipropyl xanthine 2-aminoethylamide",CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)OCC(=O)O.C(C[NH-])N
116,70130775,7-Benzyl-3-ethyl-1-(5-oxohexyl)xanthine,CCN1C2=C(C(=O)N(C1=O)CCCCC(=O)C)N(C=N2)CC3=CC=CC=C3
117,20570060,3-n-Butyl-7-(5'-oxohexyl)-xanthine,CCCCN1C2=C(C(=O)NC1=O)N(C=N2)CCCCC(=O)C
118,20570064,3-(n-Butyl)-7-(6'-oxoheptyl)-xanthine,CCCCN1C2=C(C(=O)NC1=O)N(C=N2)CCCCCC(=O)C
119,135948760,Xanthine sodium,C1=NC2=C(N1)[N-]C(=O)NC2=O.[Na+]
120,137629452,Xanthine oxidase-IN-10,C1=CC=C(C=C1)/C=C\2/C(=O)NC(=N)S2
121,137333188,1-Propyl-8-(4-sulfophenyl)xanthine potassium salt hydrate,CCCN1C(=O)C2=C(NC1=O)N=C(N2)C3=CC=C(C=C3)S(=O)(=O)[O-].O.[K+]
122,3435331,3-Methyl-7-(3-methyl-2-buten-1-yl)-8-bromo-xanthine,CC(=CCN1C2=C(N=C1Br)N(C(=O)NC2=O)C)C
123,15023897,1-(5-Hydroxyhexyl)-3-methyl-7-(2-oxopropyl)-xanthine,CC(CCCCN1C(=O)C2=C(N=CN2CC(=O)C)N(C1=O)C)O
124,15023901,1-n-Hexyl-3-methyl-7-(5-hydroxyhexyl)-xanthine,CCCCCCN1C(=O)C2=C(N=CN2CCCCC(C)O)N(C1=O)C
125,13151607,"1,3-Dibutyl-7-(3,4-dihydroxybutyl)xanthine",CCCCN1C2=C(C(=O)N(C1=O)CCCC)N(C=N2)CCC(CO)O
126,13151639,"1,3-Dimethyl-7-(5,6-epoxyhexyl)xanthine",CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCCC3CO3
127,13298148,"1,3-Dimethyl-7-(but-3-enyl)-xanthine",CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCC=C
128,13298152,3-Methyl-7-(hex-5-enyl)-xanthine,CN1C2=C(C(=O)NC1=O)N(C=N2)CCCCC=C
129,13298147,1-(But-3-enyl)-3-methyl-7-n-propyl-xanthine,CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCC=C
130,19707676,(5-Oxohexyl)-xanthine,CC(=O)CCCCN1C(=O)C2=C(NC1=O)N=CN2
131,19819645,7-Allyl-3-ethyl-1-(5-hydroxy-5-methylhexyl)-xanthine,CCN1C2=C(C(=O)N(C1=O)CCCCC(C)(C)O)N(C=N2)CC=C
132,19819649,7-Allyl-3-ethyl-xanthine,CCN1C2=C(C(=O)NC1=O)N(C=N2)CC=C
133,19819648,7-Butyl-3-ethyl-1-(5-hydroxy-5-methylhexyl)-xanthine,CCCCN1C=NC2=C1C(=O)N(C(=O)N2CC)CCCCC(C)(C)O
134,19819652,"3,7-Diethyl-1-(5-hydroxy-5-methylhexyl)-xanthine",CCN1C=NC2=C1C(=O)N(C(=O)N2CC)CCCCC(C)(C)O
135,11649276,"7-N-benzyl-1,3-dipropyl-8-[N-1-(4-iodo)pyrazolyl]xanthine",CCCN1C2=C(C(=O)N(C1=O)CCC)N(C(=N2)N3C=C(C=N3)I)CC4=CC=CC=C4
136,11606204,(R)-1-(4-methyl-quinazolin-2-ylmethyl)-3-(methoxycarbonylmethyl)-7-(but-2-ynyl)-8-(3-amino-piperidin-1-yl)-xanthine,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)CC(=O)OC
137,11620509,1-(Naphth-1-ylmethyl)-3-(methoxycarbonylmethyl)-7-(but-2-ynyl)-8-(3-amino-piperidin-1-yl)-xanthine,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=CC=CC5=CC=CC=C54)CC(=O)OC
